Entry	UniProt Link	Entry Name	Organism	Recommended name	Alternative names
A0A075FBG7	https://www.uniprot.org/uniprotkb/A0A075FBG7	ELS_MARVU	Marrubium vulgare (White horehound)	9,13-epoxylabda-14-ene synthase, chloroplastic (EC 4.2.3.189)	Manoyl oxide synthase (EC 4.2.3.190); Miltiradiene synthase (EC 4.2.3.131)
A0A0A6ZFY4	https://www.uniprot.org/uniprotkb/A0A0A6ZFY4	UGT29_PANGI	Panax ginseng (Korean ginseng)	UDP-glucosyltransferase 29 (EC 2.4.1.365)	UGTPg29 (EC 2.4.1.365); UDP-glucosyltransferase 94B1 (EC 2.4.1.365); PgUGT94B1 (EC 2.4.1.365); UDP-glucosyltransferase 94Q2 (EC 2.4.1.365); PgUGT94Q2 (EC 2.4.1.365)
A0A0E3D8M9	https://www.uniprot.org/uniprotkb/A0A0E3D8M9	JANG_PENJA	Penicillium janthinellum (Penicillium vitale)	Geranylgeranyl pyrophosphate synthase janG (EC 2.5.1.-)	GGPP synthase (EC 2.5.1.-); GGPPSase (EC 2.5.1.-); (2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.1); Dimethylallyltranstransferase (EC 2.5.1.1); Farnesyl diphosphate synthase (EC 2.5.1.29); Farnesyltranstransferase (EC 2.5.1.29); Geranylgeranyl diphosphate synthase (EC 2.5.1.10); Geranyltranstransferase (EC 2.5.1.10); Janthitremanes biosynthesis cluster protein G (EC 2.5.1.10)
A0A0E3D8P4	https://www.uniprot.org/uniprotkb/A0A0E3D8P4	PENG_PENCR	Penicillium crustosum (Blue mold fungus)	Geranylgeranyl pyrophosphate synthase penG (EC 2.5.1.-)	GGPP synthase (EC 2.5.1.-); GGPPSase (EC 2.5.1.-); (2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.1); Dimethylallyltranstransferase (EC 2.5.1.1); Farnesyl diphosphate synthase (EC 2.5.1.29); Farnesyltranstransferase (EC 2.5.1.29); Geranylgeranyl diphosphate synthase (EC 2.5.1.10); Geranyltranstransferase (EC 2.5.1.10); Penitrem biosynthesis cluster protein G (EC 2.5.1.10)
A0A0M3Q1Q3	https://www.uniprot.org/uniprotkb/A0A0M3Q1Q3	GTPS1_THYVU	Thymus vulgaris (Thyme)	Gamma-terpinene synthase 1 (EC 4.2.3.114)	Alpha-terpinene synthase 1 (EC 4.2.3.115); Terpene synthase 1 (EC 4.2.3.115); TvTPS1 (EC 4.2.3.115)
A0A0P0ZD79	https://www.uniprot.org/uniprotkb/A0A0P0ZD79	EVVS_EMEVA	Emericella variicolor (Aspergillus stellatus)	Variediene synthase (EC 4.2.3.218)	VS (EC 4.2.3.218); GGDP synthase (EC 2.5.1.29); GGS (EC 2.5.1.29); GFDP synthase (EC 2.5.1.81)
A0A140JWS2	https://www.uniprot.org/uniprotkb/A0A140JWS2	PTMG_PENOH	Penicillium ochrochloron	Geranylgeranyl pyrophosphate synthase penG (EC 2.5.1.-)	GGPP synthase (EC 2.5.1.-); GGPPSase (EC 2.5.1.-); (2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.1); Dimethylallyltranstransferase (EC 2.5.1.1); Farnesyl diphosphate synthase (EC 2.5.1.29); Farnesyltranstransferase (EC 2.5.1.29); Geranylgeranyl diphosphate synthase (EC 2.5.1.10); Geranyltranstransferase (EC 2.5.1.10); Penitrem biosynthesis cluster 1 protein G (EC 2.5.1.10)
A0A1D6EFT8	https://www.uniprot.org/uniprotkb/A0A1D6EFT8	EDSB_MAIZE	Zea mays (Maize)	Eudesmanediol synthase (EC 4.2.3.197)	ZmEDS (EC 4.2.3.197); Terpene synthase 17 (EC 4.2.3.197); Terpene synthase 7 (EC 4.2.3.197)
A0A1D6HSP4	https://www.uniprot.org/uniprotkb/A0A1D6HSP4	C92C5_MAIZE	Zea mays (Maize)	Dimethylnonatriene synthase (EC 1.14.14.59)	Cytochrome P-450 19 (EC 1.14.14.58); Cytochrome P450 92C5 (EC 1.14.14.58); Trimethyltridecatetraene synthase (EC 1.14.14.58)
A0A1D6K6U5	https://www.uniprot.org/uniprotkb/A0A1D6K6U5	CPPS2_MAIZE	Zea mays (Maize)	Ent-copalyl diphosphate synthase 2, chloroplastic (EC 5.5.1.13)	Ent-CPP synthase 2 (EC 5.5.1.13); Ent-CPS 2 (EC 5.5.1.13); Protein ANTHER EAR 2 (EC 5.5.1.13); ZmAN2 (EC 5.5.1.13)
