Entry	PubMed IDs	DOI ID
A0A075FBG7	24990389	10.1111/tpj.12589
A0A0A6ZFY4	25320211; 25769286; 27746309; 29378087; 29509695	10.1093/pcp/pcu147; 10.1016/j.ymben.2015.03.003; 10.1016/j.jbiotec.2016.10.011; 10.1002/bab.1649; 10.3390/molecules23030589
A0A0E3D8M9	26213965	10.3390/toxins7082701
A0A0E3D8P4	26213965	10.3390/toxins7082701
A0A0M3Q1Q3	26750479; 24915411; 28365519; 29785774; 29874939; 33664752; 32448034; 30836858; 32834111; 33855010	10.1107/s2053230x15023043; 10.1080/10408398.2011.653458; 10.1016/j.plaphy.2017.03.016; 10.1002/ptr.6109; 10.1080/14786419.2018.1480618; 10.3389/fpls.2020.601335; 10.1080/07391102.2020.1772112; 10.1080/07391102.2019.1590243; 10.1016/j.molstruc.2020.128823; 10.3389/fchem.2021.642026
A0A0P0ZD79	26546087; 40456796	10.1002/anie.201509263; 10.1038/s41467-025-60537-3
A0A140JWS2	25831977	10.1002/anie.201501072
A0A1D6EFT8	19965430; 18937034; 19936069; 29570233; 30187155	10.1126/science.1178534; 10.1007/s11103-008-9415-4; 10.1371/journal.pgen.1000740; 10.1111/tpj.13901; 10.1007/s00425-018-2999-2
A0A1D6HSP4	19965430; 18937034; 27662898; 30187155	10.1126/science.1178534; 10.1007/s11103-008-9415-4; 10.1105/tpc.15.00919; 10.1007/s00425-018-2999-2
A0A1D6K6U5	16307364; 19965430; 29475898	10.1007/s11103-005-1674-8; 10.1126/science.1178534; 10.1104/pp.17.01351
A0A1D6LTV0	18218975; 19965430; 19936069; 30187155	10.1104/pp.107.109553; 10.1126/science.1178534; 10.1371/journal.pgen.1000740; 10.1007/s00425-018-2999-2
A0A1E1FFL0	27602587; 28759016; 29317628	10.1021/jacs.6b08424; 10.1038/nchembio.2443; 10.1038/s41467-017-02371-w
A0A1L6Z3A0	28096378	10.1073/pnas.1612901114
A0A1S5RW73	28204567; 27865008; 30468448	10.1093/jxb/erw493; 10.1111/tpj.13427; 10.1039/c8np00077h
A0A1V0E492	29248443	10.1016/j.abb.2017.12.011
A0A1V0E4A6	29248443	10.1016/j.abb.2017.12.011
A0A1V0QSF9	28355238	10.1371/journal.pone.0173911
A0A1V0QSG0	28355238	10.1371/journal.pone.0173911
A0A1V0QSG6	28355238	10.1371/journal.pone.0173911
A0A1V0QSH2	28355238	10.1371/journal.pone.0173911
A0A1W6QDI7	28381502; 28445526	10.1104/pp.17.00202; 10.1371/journal.pone.0176507
A0A2K9RFZ2	29315936; 12809367; 30468448	10.1111/tpj.13822; 10.1078/094471103322004866; 10.1039/c8np00077h
A0A2P2GK84	36416740	10.1021/jacs.2c09412
A0A2R4QKX7	29248443	10.1016/j.abb.2017.12.011
A0A348FUE1	28869716; 31978464	10.1002/cbic.201700445; 10.1016/j.jsb.2020.107463
A0A386KZ50	30262498; 10223631; 32457155	10.1126/science.aau0382; 10.1002/(sici)1522-7189(199805/08)6:3/4<153::aid-nt16>3.0.co;2-1; 10.1073/pnas.2001325117
A0A3S5XFG0		10.1039/c8qo01124a
A0A455R4Z0	30952781; 12084465; 12798927; 20688188; 35418536	10.1073/pnas.1819254116; 10.1016/s0925-4439(02)00086-8; 10.1016/s1383-5769(03)00012-6; 10.1016/j.parint.2010.07.006; 10.2323/jgam.2021.08.001
A0A5S9I252	31418991	10.1002/anie.201907964
A0A6P6W6H5	23398891	10.1016/j.phytochem.2013.01.005
A0A858E6N7	32913319	10.1038/s41598-020-71219-z
A0A858E7G0	32913319; 21536894	10.1038/s41598-020-71219-z; 10.1073/pnas.1019315108
A0A8D5M3Y5	35057611	10.1021/acs.jnatprod.1c00973
