Entry	Nuc_Genomic_EMBL_ID_1	Nuc_Genomic_EMBL_Link_1	Nuc_Genomic_EMBL_ID_2	Nuc_Genomic_EMBL_Link_2	Nuc_Genomic_EMBL_ID_3	Nuc_Genomic_EMBL_Link_3	Nuc_Genomic_EMBL_ID_4	Nuc_Genomic_EMBL_Link_4	Nuc_Genomic_EMBL_ID_5	Nuc_Genomic_EMBL_Link_5	Nuc_Genomic_EMBL_ID_6	Nuc_Genomic_EMBL_Link_6	Nuc_Genomic_EMBL_ID_7	Nuc_Genomic_EMBL_Link_7	Nuc_Genomic_EMBL_ID_8	Nuc_Genomic_EMBL_Link_8	Nuc_Genomic_EMBL_ID_9	Nuc_Genomic_EMBL_Link_9	Nuc_Genomic_EMBL_ID_10	Nuc_Genomic_EMBL_Link_10	Nuc_Genomic_EMBL_ID_11	Nuc_Genomic_EMBL_Link_11	Nuc_Genomic_EMBL_ID_12	Nuc_Genomic_EMBL_Link_12	Nuc_Genomic_EMBL_ID_13	Nuc_Genomic_EMBL_Link_13	Nuc_Genomic_EMBL_ID_14	Nuc_Genomic_EMBL_Link_14	Nuc_mRNA_EMBL_ID_1	Nuc_mRNA_EMBL_Link_1	Nuc_mRNA_EMBL_ID_2	Nuc_mRNA_EMBL_Link_2	Nuc_mRNA_EMBL_ID_3	Nuc_mRNA_EMBL_Link_3	Nuc_mRNA_EMBL_ID_4	Nuc_mRNA_EMBL_Link_4	Nuc_mRNA_EMBL_ID_5	Nuc_mRNA_EMBL_Link_5	Nuc_mRNA_EMBL_ID_6	Nuc_mRNA_EMBL_Link_6	Nuc_mRNA_EMBL_ID_7	Nuc_mRNA_EMBL_Link_7	Nuc_mRNA_EMBL_ID_8	Nuc_mRNA_EMBL_Link_8	Nuc_mRNA_EMBL_ID_9	Nuc_mRNA_EMBL_Link_9	Nuc_mRNA_EMBL_ID_10	Nuc_mRNA_EMBL_Link_10	Nuc_mRNA_EMBL_ID_11	Nuc_mRNA_EMBL_Link_11	Nuc_mRNA_EMBL_ID_12	Nuc_mRNA_EMBL_Link_12	Nuc_mRNA_EMBL_ID_13	Nuc_mRNA_EMBL_Link_13	Nuc_mRNA_EMBL_ID_14	Nuc_mRNA_EMBL_Link_14	Nuc_mRNA_EMBL_ID_15	Nuc_mRNA_EMBL_Link_15	Prot_EMBL_ORF_ID_1	Prot_EMBL_ORF_Link_1	Prot_EMBL_ORF_ID_2	Prot_EMBL_ORF_Link_2	Prot_EMBL_ORF_ID_3	Prot_EMBL_ORF_Link_3	Prot_EMBL_ORF_ID_4	Prot_EMBL_ORF_Link_4	Prot_EMBL_ORF_ID_5	Prot_EMBL_ORF_Link_5	Prot_EMBL_ORF_ID_6	Prot_EMBL_ORF_Link_6	Prot_EMBL_ORF_ID_7	Prot_EMBL_ORF_Link_7	Prot_EMBL_ORF_ID_8	Prot_EMBL_ORF_Link_8	Prot_EMBL_ORF_ID_9	Prot_EMBL_ORF_Link_9	Prot_EMBL_ORF_ID_10	Prot_EMBL_ORF_Link_10	Prot_EMBL_ORF_ID_11	Prot_EMBL_ORF_Link_11	Prot_EMBL_ORF_ID_12	Prot_EMBL_ORF_Link_12	Prot_EMBL_ORF_ID_13	Prot_EMBL_ORF_Link_13	Prot_EMBL_ORF_ID_14	Prot_EMBL_ORF_Link_14	Prot_EMBL_ORF_ID_15	Prot_EMBL_ORF_Link_15	Prot_EMBL_ORF_ID_16	Prot_EMBL_ORF_Link_16	Prot_EMBL_ORF_ID_17	Prot_EMBL_ORF_Link_17	Prot_EMBL_ORF_ID_18	Prot_EMBL_ORF_Link_18	Prot_EMBL_ORF_ID_19	Prot_EMBL_ORF_Link_19	Prot_EMBL_ORF_ID_20	Prot_EMBL_ORF_Link_20	Prot_EMBL_ORF_ID_21	Prot_EMBL_ORF_Link_21	Prot_EMBL_ORF_ID_22	Prot_EMBL_ORF_Link_22	Prot_EMBL_ORF_ID_23	Prot_EMBL_ORF_Link_23	Prot_EMBL_ORF_ID_24	Prot_EMBL_ORF_Link_24	Prot_EMBL_ORF_ID_25	Prot_EMBL_ORF_Link_25	Prot_EMBL_ORF_ID_26	Prot_EMBL_ORF_Link_26	Prot_RefSeq_ID_1	Prot_RefSeq_NucID_1	Prot_RefSeq_ProteinLink_1	Prot_RefSeq_NucLink_1	Prot_RefSeq_ID_2	Prot_RefSeq_NucID_2	Prot_RefSeq_ProteinLink_2	Prot_RefSeq_NucLink_2	Prot_RefSeq_ID_3	Prot_RefSeq_NucID_3	Prot_RefSeq_ProteinLink_3	Prot_RefSeq_NucLink_3	Prot_RefSeq_ID_4	Prot_RefSeq_NucID_4	Prot_RefSeq_ProteinLink_4	Prot_RefSeq_NucLink_4	Prot_RefSeq_ID_5	Prot_RefSeq_NucID_5	Prot_RefSeq_ProteinLink_5	Prot_RefSeq_NucLink_5	Prot_RefSeq_ID_6	Prot_RefSeq_NucID_6	Prot_RefSeq_ProteinLink_6	Prot_RefSeq_NucLink_6	Prot_RefSeq_ID_7	Prot_RefSeq_NucID_7	Prot_RefSeq_ProteinLink_7	Prot_RefSeq_NucLink_7	Prot_RefSeq_ID_8	Prot_RefSeq_NucID_8	Prot_RefSeq_ProteinLink_8	Prot_RefSeq_NucLink_8	Prot_RefSeq_ID_9	Prot_RefSeq_NucID_9	Prot_RefSeq_ProteinLink_9	Prot_RefSeq_NucLink_9	Prot_RefSeq_ID_10	Prot_RefSeq_NucID_10	Prot_RefSeq_ProteinLink_10	Prot_RefSeq_NucLink_10	Prot_RefSeq_ID_11	Prot_RefSeq_NucID_11	Prot_RefSeq_ProteinLink_11	Prot_RefSeq_NucLink_11
A0A075FBG7																													KJ584454	https://www.ebi.ac.uk/ena/browser/view/KJ584454																													AIE77094.1	https://www.ebi.ac.uk/ena/browser/view/AIE77094.1																																																																																														
A0A0A6ZFY4	JX898530	https://www.ebi.ac.uk/ena/browser/view/JX898530																											KM401911	https://www.ebi.ac.uk/ena/browser/view/KM401911																													AGR44632.1	https://www.ebi.ac.uk/ena/browser/view/AGR44632.1	AKA44579.1	https://www.ebi.ac.uk/ena/browser/view/AKA44579.1																																																																																												
A0A0E3D8M9	KF280651	https://www.ebi.ac.uk/ena/browser/view/KF280651																																																									AGZ20472.2	https://www.ebi.ac.uk/ena/browser/view/AGZ20472.2																																																																																														
A0A0E3D8P4	KC963408	https://www.ebi.ac.uk/ena/browser/view/KC963408																																																									AGZ20182.1	https://www.ebi.ac.uk/ena/browser/view/AGZ20182.1																																																																																														
A0A0M3Q1Q3																													KR920616	https://www.ebi.ac.uk/ena/browser/view/KR920616																													ALB78115.1	https://www.ebi.ac.uk/ena/browser/view/ALB78115.1																																																																																														
A0A0P0ZD79	LC063849	https://www.ebi.ac.uk/ena/browser/view/LC063849																																																									BAT32888.1	https://www.ebi.ac.uk/ena/browser/view/BAT32888.1																																																																																														
A0A140JWS2	LC027936	https://www.ebi.ac.uk/ena/browser/view/LC027936																																																									BAU61549.1	https://www.ebi.ac.uk/ena/browser/view/BAU61549.1																																																																																														
A0A1D6EFT8	CM007648	https://www.ebi.ac.uk/ena/browser/view/CM007648																											EU957768	https://www.ebi.ac.uk/ena/browser/view/EU957768	BT055982	https://www.ebi.ac.uk/ena/browser/view/BT055982																											ONM19045.1	https://www.ebi.ac.uk/ena/browser/view/ONM19045.1	ACG29886.1	https://www.ebi.ac.uk/ena/browser/view/ACG29886.1	ACL54589.1	https://www.ebi.ac.uk/ena/browser/view/ACL54589.1																																																																																										
A0A1D6HSP4	CM007650	https://www.ebi.ac.uk/ena/browser/view/CM007650																											EU955931	https://www.ebi.ac.uk/ena/browser/view/EU955931																													ONM51434.1	https://www.ebi.ac.uk/ena/browser/view/ONM51434.1	ACG28049.1	https://www.ebi.ac.uk/ena/browser/view/ACG28049.1																																																																																												
A0A1D6K6U5	AY562490	https://www.ebi.ac.uk/ena/browser/view/AY562490	CM007647	https://www.ebi.ac.uk/ena/browser/view/CM007647																									AY562491	https://www.ebi.ac.uk/ena/browser/view/AY562491																													AAT70083.1	https://www.ebi.ac.uk/ena/browser/view/AAT70083.1	AAT70084.1	https://www.ebi.ac.uk/ena/browser/view/AAT70084.1	ONL99283.1	https://www.ebi.ac.uk/ena/browser/view/ONL99283.1	NP_001105257.2	https://www.ncbi.nlm.nih.gov/protein/NP_001105257.2																																													NP_001105257.2	NM_001111787.2	https://www.ncbi.nlm.nih.gov/protein/NP_001105257.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001111787.2																																								
A0A1D6LTV0	EF599329	https://www.ebi.ac.uk/ena/browser/view/EF599329	CM000782	https://www.ebi.ac.uk/ena/browser/view/CM000782																									EF599330	https://www.ebi.ac.uk/ena/browser/view/EF599330	BT033652	https://www.ebi.ac.uk/ena/browser/view/BT033652	BT069885	https://www.ebi.ac.uk/ena/browser/view/BT069885																									ABR09288.1	https://www.ebi.ac.uk/ena/browser/view/ABR09288.1	ABR09289.1	https://www.ebi.ac.uk/ena/browser/view/ABR09289.1	AQK82824.1	https://www.ebi.ac.uk/ena/browser/view/AQK82824.1	ACF78657.1	https://www.ebi.ac.uk/ena/browser/view/ACF78657.1	ACN36782.1	https://www.ebi.ac.uk/ena/browser/view/ACN36782.1	NP_001106050.2	https://www.ncbi.nlm.nih.gov/protein/NP_001106050.2																																									NP_001106050.2	NM_001112580.2	https://www.ncbi.nlm.nih.gov/protein/NP_001106050.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001112580.2																																								
A0A1E1FFL0	LC127182	https://www.ebi.ac.uk/ena/browser/view/LC127182																																																									BAV69302.1	https://www.ebi.ac.uk/ena/browser/view/BAV69302.1																																																																																														
A0A1L6Z3A0																													KU685114	https://www.ebi.ac.uk/ena/browser/view/KU685114																													APT40486.1	https://www.ebi.ac.uk/ena/browser/view/APT40486.1																																																																																														
A0A1S5RW73																													KX268505	https://www.ebi.ac.uk/ena/browser/view/KX268505	KX424877	https://www.ebi.ac.uk/ena/browser/view/KX424877																											AOZ15895.1	https://www.ebi.ac.uk/ena/browser/view/AOZ15895.1	APH81400.1	https://www.ebi.ac.uk/ena/browser/view/APH81400.1																																																																																												
A0A1V0E492																													KU953957	https://www.ebi.ac.uk/ena/browser/view/KU953957																													ARB08605.1	https://www.ebi.ac.uk/ena/browser/view/ARB08605.1																																																																																														
A0A1V0E4A6																													KU953958	https://www.ebi.ac.uk/ena/browser/view/KU953958																													ARB08606.1	https://www.ebi.ac.uk/ena/browser/view/ARB08606.1																																																																																														
A0A1V0QSF9																													KY014557	https://www.ebi.ac.uk/ena/browser/view/KY014557																													ARE72253.1	https://www.ebi.ac.uk/ena/browser/view/ARE72253.1																																																																																														
A0A1V0QSG0	JAATIP010000215	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000215	JAATIQ010000253	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000253																									KY014560	https://www.ebi.ac.uk/ena/browser/view/KY014560																													ARE72256.1	https://www.ebi.ac.uk/ena/browser/view/ARE72256.1	KAF4359439.1	https://www.ebi.ac.uk/ena/browser/view/KAF4359439.1	KAF4366759.1	https://www.ebi.ac.uk/ena/browser/view/KAF4366759.1																																																																																										
